Country,Agree,Disagree,CPI_Score,Region
Albania,0.62,0.38,36,ECA
Argentina,0.71,0.29,42,AME
Armenia,0.24,0.76,49,ECA
Australia,0.91,0.09,77,AP
Azerbaijan,0.43,0.57,30,ECA
Belarus,0.1,0.9,47,ECA
Belgium,0.69,0.31,76,WE/EU
Bolivia,0.63,0.37,31,AME
Brazil,0.81,0.19,38,AME
Bulgaria,0.29,0.71,44,WE/EU
Cambodia,0.63,0.37,21,AP
Chile,0.47,0.53,67,AME
Colombia,0.74,0.26,39,AME
Costa Rica,0.82,0.18,57,AME
Croatia,0.41,0.59,47,WE/EU
Cyprus,0.69,0.31,57,WE/EU
Dominican Republic,0.7,0.3,28,AME
Ecuador,0.68,0.32,39,AME
El Salvador,0.7,0.3,36,AME
Estonia,0.48,0.52,75,WE/EU
France,0.83,0.17,69,WE/EU
Georgia,0.38,0.62,56,ECA
Germany,0.69,0.31,80,WE/EU
Greece,0.69,0.31,50,WE/EU
Guatemala,0.77,0.23,25,AME
Honduras,0.64,0.36,24,AME
Hong Kong,0.85,0.15,77,AP
Hungary,0.22,0.78,44,WE/EU
India,0.61,0.39,40,AP
Indonesia,0.78,0.22,37,AP
Italy,0.61,0.39,53,WE/EU
Jamaica,0.5,0.5,44,AME
Japan,0.82,0.18,74,AP
Jordan,0.72,0.28,49,MENA
Kazakhstan,0.33,0.67,38,ECA
Kosovo,0.6,0.4,36,ECA
Latvia,0.49,0.51,57,WE/EU
Lebanon,0.61,0.39,25,MENA
Lithuania,0.37,0.63,60,WE/EU
Malaysia,0.5,0.5,51,AP
Mexico,0.52,0.48,31,AME
Moldova,0.37,0.63,34,ECA
Mongolia,0.69,0.31,35,AP
Montenegro,0.34,0.66,45,ECA
Myanmar,0.79,0.21,28,AP
Netherlands,0.81,0.19,82,WE/EU
Nicaragua,0.72,0.28,22,AME
Pakistan,0.33,0.67,31,AP
Panama,0.69,0.31,35,AME
Paraguay,0.69,0.31,28,AME
Peru,0.62,0.38,38,AME
Poland,0.36,0.64,56,WE/EU
Portugal,0.88,0.12,61,WE/EU
Romania,0.4,0.6,44,WE/EU
Russia,0.18,0.82,30,ECA
Serbia,0.34,0.66,38,ECA
Slovenia,0.5,0.5,60,WE/EU
Spain,0.92,0.08,62,WE/EU
Sri Lanka,0.75,0.25,38,AP
Sweden,0.83,0.17,85,WE/EU
Switzerland,0.82,0.18,85,WE/EU
Taiwan,0.77,0.23,65,AP
Tajikistan,0.29,0.71,25,ECA
Thailand,0.52,0.48,36,AP
Trinidad and Tobago,0.41,0.59,40,AME
Turkey,0.61,0.39,40,ECA
UK,0.83,0.17,77,WE/EU
Ukraine,0.16,0.84,33,ECA
Uruguay,0.83,0.17,71,AME
USA,0.76,0.24,67,AME
Venezuela,0.6,0.4,15,AME
Vietnam,0.58,0.42,36,AP
Yemen,0.66,0.34,15,MENA
